google_name,google_latitude,google_longitude,google_maps_url,google_address,google_place_id,google_cid
Trạm Thu phí Xa lộ Hà Nội,10.823889,106.759614,https://www.google.com/maps/place/Tr%E1%BA%A1m+Thu+ph%C3%AD+Xa+l%E1%BB%99+H%C3%A0+N%E1%BB%99i/data=!4m7!3m6!1s0x317526522fce2343:0x30ac4e3f7a7d6322!8m2!3d10.8238891!4d106.7596144!16s%2Fg%2F11fzfdgdnz!19sChIJQyPOL1ImdTERImN9ej9OrDA?authuser=0&hl=vi&rclk=1,"Trạm thu phí xa lộ Hà Nội, Võ Nguyên Giáp, Phước Long, Hồ Chí Minh, Việt Nam",ChIJQyPOL1ImdTERImN9ej9OrDA,3507264244359717666
Trạm thu phí Phú Hữu,10.791609,106.807440,https://www.google.com/maps/place/Tr%E1%BA%A1m+thu+ph%C3%AD+Ph%C3%BA+H%E1%BB%AFu/data=!4m7!3m6!1s0x317526af9f6c0c0f:0xd32f2533e916868f!8m2!3d10.791609!4d106.80744!16s%2Fg%2F11c6vd7vhr!19sChIJDwxsn68mdTERj4YW6TMlL9M?authuser=0&hl=vi&rclk=1,"QRR4+JXW Trạm thu phí Phú Hữu, Đường Nguyễn Thị Tư, Long Trường, Hồ Chí Minh, Việt Nam",ChIJDwxsn68mdTERj4YW6TMlL9M,15217422570792322703
Trạm thu phí Long Trường,10.786715,106.830901,https://www.google.com/maps/place/Tr%E1%BA%A1m+thu+ph%C3%AD+Long+Tr%C6%B0%E1%BB%9Dng/data=!4m7!3m6!1s0x3175210063fcebdb:0xb809f80fae39a8e6!8m2!3d10.7867155!4d106.8309015!16s%2Fg%2F11z7knqbkq!19sChIJ2-v8YwAhdTER5qg5rg_4Cbg?authuser=0&hl=vi&rclk=1,"QRPJ+M9 Trạm thu phí Long Trường, Long Trường, Hồ Chí Minh, Việt Nam",ChIJ2-v8YwAhdTER5qg5rg_4Cbg,13261403324000348390
Trạm Thu phí Long Phước,10.785886,106.851826,https://www.google.com/maps/place/Tr%E1%BA%A1m+Thu+ph%C3%AD+Long+Ph%C6%B0%E1%BB%9Bc/data=!4m7!3m6!1s0x3175216367000001:0x5dcbe27f3f59d8ca!8m2!3d10.7858859!4d106.8518264!16s%2Fg%2F11cr_fbnvw!19sChIJAQAAZ2MhdTERythZP3_iy10?authuser=0&hl=vi&rclk=1,"Trạm thu phí Long Phước, Long Phước, Hồ Chí Minh, Việt Nam",ChIJAQAAZ2MhdTERythZP3_iy10,6758744701951137994
Trạm Thu phí 319 HLD,10.768771,106.922850,https://www.google.com/maps/place/Tr%E1%BA%A1m+Thu+ph%C3%AD+319+HLD/data=!4m7!3m6!1s0x317519e570d57dbb:0x3aa8452199f3b6a4!8m2!3d10.7687709!4d106.9228499!16s%2Fg%2F11shlyq3yg!19sChIJu33VcOUZdTERpLbzmSFFqDo?authuser=0&hl=vi&rclk=1,"Ngã 3, Bến Cam, Nhơn Trạch, Đồng Nai, Việt Nam",ChIJu33VcOUZdTERpLbzmSFFqDo,4226704260906333860
Trạm thu phí 319 KCN CNC Long Thành,10.776661,106.929350,https://www.google.com/maps/place/Tr%E1%BA%A1m+thu+ph%C3%AD+319+KCN+CNC+Long+Th%C3%A0nh/data=!4m7!3m6!1s0x31751f0021b2876b:0xd616e15da4e999ec!8m2!3d10.7766611!4d106.9293501!16s%2Fg%2F11ymkdzgqq!19sChIJa4eyIQAfdTER7JnppF3hFtY?authuser=0&hl=vi&rclk=1,"Khu Công Nghiệp Công Nghệ Cao, Long Thành, Đồng Nai, Việt Nam",ChIJa4eyIQAfdTER7JnppF3hFtY,15426765365919193580
Trạm Thu phí Quốc lộ 51,10.765217,106.956554,https://www.google.com/maps/place/Tr%E1%BA%A1m+Thu+ph%C3%AD+Qu%E1%BB%91c+l%E1%BB%99+51/data=!4m7!3m6!1s0x317518d709c08f45:0xd006f326c735ff2f!8m2!3d10.7652167!4d106.9565542!16s%2Fg%2F11g8yfsdks!19sChIJRY_ACdcYdTERL_81xybzBtA?authuser=0&hl=vi&rclk=1,"QX84+3JM Trạm Thu phí Quốc lộ 51, Long Thành, Đồng Nai, Việt Nam",ChIJRY_ACdcYdTERL_81xybzBtA,14989935757625786159
Trạm Thu phí Quốc lộ 51,10.765087,106.961871,https://www.google.com/maps/place/Tr%E1%BA%A1m+Thu+ph%C3%AD+Qu%E1%BB%91c+l%E1%BB%99+51/data=!4m7!3m6!1s0x3175190009d22f47:0x6c999e3462f45515!8m2!3d10.7650869!4d106.9618708!16s%2Fg%2F11x33782b8!19sChIJRy_SCQAZdTERFVX0YjSemWw?authuser=0&hl=vi&rclk=1,"QX86+2PQ Trạm Thu phí Quốc lộ 51, Long Thành, Đồng Nai, Việt Nam",ChIJRy_SCQAZdTERFVX0YjSemWw,7825459775368615189
Trạm thu phí,10.723391,106.997247,https://www.google.com/maps/place/Tr%E1%BA%A1m+thu+ph%C3%AD/data=!4m7!3m6!1s0x3175198483092283:0x8cd63a58b183c8f9!8m2!3d10.723391!4d106.9972469!16s%2Fg%2F11bycfvzft!19sChIJgyIJg4QZdTER-ciDsVg61ow?authuser=0&hl=vi&rclk=1,"QL51, Long Phước, Đồng Nai, Việt Nam",ChIJgyIJg4QZdTER-ciDsVg61ow,10148362962935728377
Trạm thu phí cao tốc bến lức - Long Thành (quốc lộ 51),10.675567,107.019749,https://www.google.com/maps/place/Tr%E1%BA%A1m+thu+ph%C3%AD+cao+t%E1%BB%91c+b%E1%BA%BFn+l%E1%BB%A9c+-+Long+Th%C3%A0nh+%28qu%E1%BB%91c+l%E1%BB%99+51%29/data=!4m7!3m6!1s0x31751100626b3a0f:0xa28cbb051928033b!8m2!3d10.6755667!4d107.0197492!16s%2Fg%2F11wj4j65fs!19sChIJDzprYgARdTEROwMoGQW7jKI?authuser=0&hl=vi&rclk=1,"M2G9+6VH Trạm thu phí cao tốc bến lức - Long Thành (quốc lộ 51), CT01, Phước Thái, Đồng Nai, Việt Nam",ChIJDzprYgARdTEROwMoGQW7jKI,11712942361455100731
