google_name,google_latitude,google_longitude,google_address,google_maps_url,google_place_id,google_cid
Trạm thu phí Hồ Sơn,21.49101,106.371324,"F9RC+CG4 Trạm Thu phí Hồ Sơn, Khu Tân Hoa, Xã, Hữu Lũng, Lạng Sơn, Việt Nam",https://www.google.com/maps/place/Tr%E1%BA%A1m+Thu+ph%C3%AD+H%E1%BB%93+S%C6%A1n/data=!4m7!3m6!1s0x31355da1ee5496e7:0x7c942200f7d6e9f3!8m2!3d21.4910096!4d106.3713244!16s%2Fg%2F11j8t11bv0!19sChIJ55ZU7qFdNTER8-nW9wAilHw?authuser=0&hl=vi&rclk=1,ChIJ55ZU7qFdNTER8-nW9wAilHw,8976837344809642483
Trạm thu phí Km 104 Cao tốc Bắc Giang - Lạng Sơn,21.315908,106.25888,"8785+9H6 Trạm Thu phí Km 104 Cao tốc Bắc Giang - Lạng Sơn, Lạng Giang, Bắc Ninh, Việt Nam",https://www.google.com/maps/place/Tr%E1%BA%A1m+Thu+ph%C3%AD+Km+104+Cao+t%E1%BB%91c+B%E1%BA%AFc+Giang+-+L%E1%BA%A1ng+S%C6%A1n/data=!4m7!3m6!1s0x31356fbf1b2b51cf:0x1aa4222cc58fd58f!8m2!3d21.3159083!4d106.2588803!16s%2Fg%2F11j92yjk63!19sChIJz1ErG79vNTERj9WPxSwipBo?authuser=0&hl=vi&rclk=1,ChIJz1ErG79vNTERj9WPxSwipBo,1919696916855117199
Trạm thu phí Km 124+720 Quốc lộ 19,14.05472,108.3294748,"Hra, Gia Lai, Việt Nam",https://www.google.com/maps/place/Tr%E1%BA%A1m+Thu+ph%C3%AD+Km+124%2B720+Qu%E1%BB%91c+l%E1%BB%99+19/data=!4m7!3m6!1s0x316ebb0001f56dbb:0x56111d065d58e648!8m2!3d14.05472!4d108.3294748!16s%2Fg%2F11x0q_xdgw!19sChIJu231AQC7bjERSOZYXQYdEVY?authuser=0&hl=vi&rclk=1,ChIJu231AQC7bjERSOZYXQYdEVY,0x316ebb0001f56dbb:0x56111d065d58e648
Trạm thu phí Km 237 Cao tốc Hà Nội - Lào Cai,22.3651385,104.0808228,"938J+38, Gia Phú, Lào Cai, Việt Nam",https://www.google.com/maps/place/Tr%E1%BA%A1m+Thu+ph%C3%AD+Km+237+Cao+t%E1%BB%91c+H%C3%A0+N%E1%BB%99i+-+L%C3%A0o+Cai/data=!4m7!3m6!1s0x36cd3d002fa3c759:0x680d5c72b3e3213a!8m2!3d22.3651385!4d104.0808228!16s%2Fg%2F11x32wb3mq!19sChIJWcejLwA9zTYROiHjs3JcDWg?authuser=0&hl=vi&rclk=1,ChIJWcejLwA9zTYROiHjs3JcDWg,0x36cd3d002fa3c759:0x680d5c72b3e3213a
Trạm thu phí Km 6 Cao tốc Hà Nội - Lào Cai,21.252714,105.739648,"Trạm thu phí Cao tốc Nội Bài - Lào Cai, ĐCT05, Kim Anh, Hà Nội, Việt Nam",https://www.google.com/maps/place/Tr%E1%BA%A1m+Thu+ph%C3%AD+Km+6+Cao+t%E1%BB%91c+H%C3%A0+N%E1%BB%99i+-+L%C3%A0o+Cai/data=!4m7!3m6!1s0x3134fd8b351ed795:0x637cd3668cdd4fbb!8m2!3d21.2527144!4d105.7396484!16s%2Fg%2F11h7t2ytcy!19sChIJldceNYv9NDERu0_djGbTfGM?authuser=0&hl=vi&rclk=1,ChIJldceNYv9NDERu0_djGbTfGM,7168837144270426043
Trạm thu phí Km45 - Cao Tốc Bắc - Nam phía Đông (Bắc Giang - Lạng Sơn),21.686704,106.62769,"MJPH+M3P Trạm Thu Phí Km45 - Cao Tốc Bắc - Nam phía Đông (Bắc Giang - Lạng Sơn), Nhân Lý, Lạng Sơn, Việt Nam",https://www.google.com/maps/place/Tr%E1%BA%A1m+Thu+Ph%C3%AD+Km45+-+Cao+T%E1%BB%91c+B%E1%BA%AFc+-+Nam+ph%C3%ADa+%C4%90%C3%B4ng+%28B%E1%BA%AFc+Giang+-+L%E1%BA%A1ng+S%C6%A1n%29/data=!4m7!3m6!1s0x314aabba0cd6197d:0x9f4119b084e2428f!8m2!3d21.6867037!4d106.6276903!16s%2Fg%2F11k06t238d!19sChIJfRnWDLqrSjERj0LihLAZQZ8?authuser=0&hl=vi&rclk=1,ChIJfRnWDLqrSjERj0LihLAZQZ8,11475481571451093647
Trạm thu phí Liên Đầm,11.5664985,107.9987574,"QL20, Di Linh, Lâm Đồng, Việt Nam",https://www.google.com/maps/place/Tr%E1%BA%A1m+Thu+ph%C3%AD+Li%C3%AAn+%C4%90%E1%BA%A7m/data=!4m7!3m6!1s0x3173fe8a14074911:0xbce55b02c8db83c3!8m2!3d11.5664985!4d107.9987574!16s%2Fg%2F11cs0sdl_d!19sChIJEUkHFIr-czERw4PbyAJb5bw?authuser=0&hl=vi&rclk=1,ChIJEUkHFIr-czERw4PbyAJb5bw,0x3173fe8a14074911:0xbce55b02c8db83c3
Trạm thu phí Long Phước,10.785886,106.851826,"Trạm thu phí Long Phước, Long Phước, Hồ Chí Minh, Việt Nam",https://www.google.com/maps/place/Tr%E1%BA%A1m+Thu+ph%C3%AD+Long+Ph%C6%B0%E1%BB%9Bc/data=!4m7!3m6!1s0x3175216367000001:0x5dcbe27f3f59d8ca!8m2!3d10.7858859!4d106.8518264!16s%2Fg%2F11cr_fbnvw!19sChIJAQAAZ2MhdTERythZP3_iy10?authuser=0&hl=vi&rclk=1,ChIJAQAAZ2MhdTERythZP3_iy10,6758744701951137994
Trạm thu phí Móng Cái,21.512378,107.949864,"GW6X+XW5 Trạm Thu phí Móng Cái, Móng Cái 2, Quảng Ninh, Việt Nam",https://www.google.com/maps/place/Tr%E1%BA%A1m+Thu+ph%C3%AD+M%C3%B3ng+C%C3%A1i/data=!4m7!3m6!1s0x314b51740827bceb:0x224e407627ae1160!8m2!3d21.5123783!4d107.9498637!16s%2Fg%2F11tdmb6x85!19sChIJ67wnCHRRSzERYBGuJ3ZATiI?authuser=0&hl=vi&rclk=1,ChIJ67wnCHRRSzERYBGuJ3ZATiI,2471984121689018720
Trạm thu phí Mỹ Lộc,20.447509,106.119748,"C4X9+2V5 Trạm Thu phí Mỹ Lộc, Mỹ Lộc, Ninh Bình, Việt Nam",https://www.google.com/maps/place/Tr%E1%BA%A1m+Thu+ph%C3%AD+M%E1%BB%B9+L%E1%BB%99c/data=!4m7!3m6!1s0x3135ddc84cbe6d71:0xa282c51b7390d023!8m2!3d20.4475087!4d106.1197479!16s%2Fg%2F11c0xrzq1c!19sChIJcW2-TMjdNTERI9CQcxvFgqI?authuser=0&hl=vi&rclk=1,ChIJcW2-TMjdNTERI9CQcxvFgqI,11710138702810370083
